# /Users/e30737/Desktop/Data/MANGO/blo/greenline/mango-blo-greenline-20211129-061400.hdf5
# Name         Azimuth     Elevation    I        J
Betelgeuse     41.5116     124.3803     455.6    369.4
Bellatrix      45.0044     133.5467     426.8    373.4
Rigel          33.5337     145.6569     406.7    425.8
Saiph          28.4086     137.9934     438.9    428.7
Alnitak        35.9174     135.0411     438.3    402.2
Alnilam        37.1423     135.7623     433.7    399.9
Mintaka        38.4581     136.3093     429.7    396.5
Hatysa         33.1848     138.8848     429.1    416.6
Alderbaran     59.9035     142.0554     387.1    334.9
Alcyone        71.3379     160.6590     349.7    301.5
Capella        68.8505     69.1339      424.5    228.4
Mirfak         82.0361     4.4168       358.0    205.7
Miram          75.2093     343.5074     347.6    177.5
Menkalinan     61.2965     70.4268      451.2    228.7
Castor         39.4371     79.7000      525.9    254.0
Pollux         35.4293     82.2807      538.6    267.2
Procyon        22.2455     103.6852     548.4    354.6
Sirius         14.8368     129.6751     487.4    449.0
Ruchbah        64.6886     326.2453     320.0    143.5
Navi           61.3183     323.3589     311.4    135.5
Shedar         60.6420     313.8081     293.6    141.2
Caph           56.0628     317.2184     292.4    122.8
Algol          87.4724     248.7328     337.5    234.4
Almach         75.7992     278.2273     299.7    210.9
Mirach         63.8972     267.0624     253.9    211.4
Alpheratz      49.4211     267.6240     204.6    197.7
Algenib        41.7822     250.8642     173.6    240.7
Markab         29.3884     264.3485     137.5    194.2
Scheat         36.8947     276.8691     173.6    159.3
Matar          34.2435     282.0997     173.6    137.5
Sadalbari      32.3876     275.4858     158.1    154.7
Hamal          66.0408     225.4897     268.8    275.1
Sheratan       62.1952     227.3716     255.0    277.4
Menkar         51.9590     187.5672     291.1    358.8
