# /Users/e30737/Desktop/Data/MANGO/blo/greenline/mango-blo-greenline-20211129-061400.hdf5
# Name         Azimuth     Elevation    X        Y
Betelgeuse     124.3803     41.5116     239.4    369.4
Bellatrix      133.5467     45.0044     268.2    373.4
Rigel          145.6569     33.5337     288.3    425.8
Saiph          137.9934     28.4086     255.5    428.7
Alnitak        135.0411     35.9174     256.7    402.2
Alnilam        135.7623     37.1423     261.3    399.9
Mintaka        136.3093     38.4581     265.3    396.5
Hatysa         138.8848     33.1848     265.9    416.6
Alderbaran     142.0554     59.9035     307.9    334.9
Alcyone        160.6590     71.3379     345.3    301.5
Capella        69.1339      68.8505     270.5    228.4
Mirfak         4.4168       82.0361     337.0    205.7
Miram          343.5074     75.2093     347.4    177.5
Menkalinan     70.4268      61.2965     243.8    228.7
Castor         79.7000      39.4371     169.1    254.0
Pollux         82.2807      35.4293     156.4    267.2
Procyon        103.6852     22.2455     146.6    354.6
Sirius         129.6751     14.8368     207.6    449.0
Ruchbah        326.2453     64.6886     375.0    143.5
Navi           323.3589     61.3183     383.6    135.5
Shedar         313.8081     60.6420     401.4    141.2
Caph           317.2184     56.0628     402.6    122.8
Algol          248.7328     87.4724     357.5    234.4
Almach         278.2273     75.7992     395.3    210.9
Mirach         267.0624     63.8972     441.1    211.4
Alpheratz      267.6240     49.4211     490.4    197.7
Algenib        250.8642     41.7822     521.4    240.7
Markab         264.3485     29.3884     557.5    194.2
Scheat         276.8691     36.8947     521.4    159.3
Matar          282.0997     34.2435     521.4    137.5
Sadalbari      275.4858     32.3876     536.9    154.7
Hamal          225.4897     66.0408     426.2    275.1
Sheratan       227.3716     62.1952     440.0    277.4
Menkar         187.5672     51.9590     403.9    358.8
