# /Users/e30737/Desktop/Data/MANGO/cfs/greenline/UNKNOWN
# Name     Azimuth     Elevation     X    Y
Jupiter		238.66	14.033	537.3 	53.1
Scheat		265.6	55.1	387.4	114.0
Markab		248.15	48.03	438.2	116.2
Alpheratz	253.016	68.08	388.8	167.6
Algenib		227.7	59.46	441.7	176.7
Diphda		197.3	32.13	558.0	229.6
Mirach		253.466	82.55	360.2	215.0
Almach		39.033	84.4	325.3	248.4
Mirfak		48.43	68.71	277.1	285.7
Algol		73.36	73.7	312.2	293.7
Hamal		160.36	74.616	393.9	273.6
Sheratan	172.35	72.58	406.9	264.7
Capella		61	50.633	242.6	348.9
Menkalinan	60.31	43.06	222.8	365.0
Castor		65.23	20.86	189.	432.3
Pollux		67.28	16.8167	189 	447.8
Hassaleh	82.25	51.06	289.6	375.1
Elnath		84.6	43.48	286	403.7
ThetaAurigae	70.15	40.58	241.2	391.9
Alhena		86.85	23.116	272.8	469.8
Betelgeuse	101.633	26.0667	334	472.5	
Rigel		121.78	22.8167	416.9	471.8
Bellatrix	108.0	31.08	358.4	456.3
Mintaka		112.283	25.35	376.9	472.5
Alderbaran	107.96	46.81	354.7	401.5
Pleiades	109.45	60.53	354.7	351.3	
Menkar		147.816	51.68	444.2	344.4
Polaris		0.25	38.81	159.4	194.2
Kochab		355.25	22.81	116.2	161.4
Alderamin	324.26	43.76	233.6	107.1
Deneb		303.66	35	276.9	48.5
Sadr		299.91	29.76	285.0	28.8
Caph		331.8	63.96	271.6	173.5
GammaCassiope	345.46	66.133	264.9	196.6

