# /Users/e30737/Desktop/Data/MANGO/cfs/redline/2021/249/10/mango-cfs-redline-20210906-100800.hdf5
# Name         Azimuth     Elevation    X        Y
Almach         39.033      84.4         333.1    248.0
Fomalhault     216.36      11.9         612.6    178.1
Jupiter        238.66      14.033       563.7    87.1
Scheat         265.6       55.1         411.1    126.9
Alpheratz      253.016     68.08        405.7    178.0
Mirach         253.466     82.55        370.7    221.1
GammaCassiope  345.46      66.133       283.6    191.0
Caph           331.8       63.96        292.3    169.2
Ruchbah        353.866     67.39        281.6    204.0
Rigel          121.78      22.8167      393.4    477.2
Betelgeuse     101.633     26.0667      313.2    466.4
Mintaka        112.283     25.35        355.1    472.3
Bellatrix      108.0       31.08        339.2    453.9
Pollux         67.28       16.8167      175.9    422.9
Capella        61.0        50.633       242.0    333.9
Pleiades       109.45      60.53        349.4    353.2
Alderbaran     107.96      46.81        343.1    401.8
Deneb          303.66      35.0         315.4    50.1
Polaris        0.25        38.81        183.2    171.9
Sadr           299.91      29.76        325.7    31.1
Kochab         355.25      22.81        145.2    135.8
