# /Users/e30737/Desktop/Data/MANGO/cvo/greenline/2021/334/06/mango-cvo-greenline-20211130-062400.hdf5				
# Name	Azimuth	Elevation	X	Y
Etamin	333.415794	12.296523	604.96	362.16
Diphda	214.394201	21.598815	167.02	373.31
Merope	148.40273	68.301263	295.37	200.56
#Alcaid	11.401174	3.710989	674.57	176.65
Zaurak	162.682525	31.657722	165.35	179.68
#Sulafat	312.932357	3.79986	579.59	474.77
Aldebaran	134.256247	56.096388	274.26	151.97
Nihal	143.271387	17.277411	160.24	90.75
Sadr	306.262923	20.927901	501.49	431.72
#Acamar	179.913507	6.547442	57.47	239.87
Dubhe	26.504513	24.917963	561.36	140.33
Bellatrix	127.827236	40.9134	251.63	100.09
Elnath	103.697851	56.84248	332.14	123.16
Markab	259.25696	33.45232	323.77	437.01
#Alkaid	11.401174	3.710989	674.57	176.65
Mintaka	130.802139	34.461945	232.13	91.56
Enif	269.408561	15.277888	358.44	499.87
Atlas	146.705592	68.117661	296.04	198.27
Sirrah	261.601272	53.5856	341.39	373.36
Scheat	272.176782	41.268987	367.74	417.59
Alfirk	333.471145	42.69236	515.3	317.61
Caph	316.949628	59.896203	440.77	315.31
Mizar	13.480776	10.05862	636.5	173.97
Kochab	0.622145	27.305315	577.99	237.97
Mirzam	130.450384	12.855245	186.15	35.48
Capella	71.34151	65.196321	389.11	157.01
Alcor	13.280964	10.064138	636.71	174.94
Algenib	244.246608	45.280698	289.69	388.51
Deneb	308.279441	26.778867	496.59	412.14
Mirfak	32.486681	81.829307	387.73	223.78
Hamal	211.799207	67.771049	293.85	282.41
Rigel	140.021091	29.920538	200.23	105.93
Alioth	17.189978	12.46497	620.07	159.91
Sirius	125.332359	10.603687	198.78	11.7
Schedar	313.892354	64.599048	423.92	306.24
Thuban	6.086317	18.023198	607.07	213.93
Alhena	102.244551	36.391326	320.19	53.52
Menkar	178.1121	50.927383	217.02	236.08
Eltanin	333.415794	12.296523	604.96	362.16
Taygeta	148.438903	68.879282	297.14	201.7
Alpheratz	261.601272	53.5856	341.39	373.36
Algol	136.291302	87.012225	351.14	231.8
Mirach	259.190434	68.025993	346.3	317.4
Arneb	140.816576	19.355708	172.94	87.3
Saiph	132.923787	24.474038	207.35	75.49
Phecda	26.145315	14.488286	595.96	124.74
Sadalmelik	257.975016	12.18985	304.06	508.19
Alcyone	147.574433	68.330824	296.06	199.67
Maia	148.2021	68.729584	296.84	201.15
Electra	149.035629	68.589122	295.83	201.83
#Albereo	304.638786	4.765029	540.15	499.11
Alnitak	129.728173	31.877722	230.35	83.61
Menkalinan	70.851717	57.623615	399.51	129.29
Pollux	79.559287	31.341313	398.05	38.32
#Sheliak	314.803856	3.155428	589.93	470.3
Alderamin	323.571059	39.666245	507.36	348.57
Polaris	0.00879	43.875629	529.53	240.54
Betelgeuse	119.399015	37.179786	267.94	75.83
Alnilam	130.35274	33.127227	230.89	87.7
Almach	269.914869	80.187391	360.83	277.81
#Vega	320.233255	5.828757	598.02	437.14
Merak	30.646779	21.13021	564.01	119.88
Megrez	21.640051	15.759541	599.27	145.58
Uranus	190.497842	61.393353	259.29	259.67
Neptune	239.325075	22.244622	242.18	440.88
Umbriel	190.489004	61.394829	259.29	259.67
Ariel	190.495738	61.397117	259.29	259.67
Oberon	190.518387	61.393046	259.29	259.67
Miranda	190.500451	61.395799	259.29	259.67
Titania	190.491476	61.401461	259.29	259.67
