# LAO    redline
# 2026-01-22T03:52:00
# GLAT= 37.622162    GLON=-97.627022
################################################################################

# Name                     HIP        Azimuth      Elevation         X         Y
Sirius                   32349       157.4965        32.5568    435.47     94.14
Procyon                  37279       128.6512        45.5893    476.19    181.21
Rigel                    24436       184.0547        44.1227    348.40    109.59
Betelgeuse               27989       165.8857        59.0798    383.51    164.36
Pollux                   37826        98.0248        59.3618    455.12    262.65
Capella                  24608       349.5474        81.4346    341.38    297.76
Aldebaran                21421       211.0561        66.2218    311.89    193.84
Mirach                    5447       288.6585        39.6095    182.71    311.80
Hamal                     9884       266.3436        45.5182    198.15    247.20
Caph                       746       321.1566        36.8906    224.83    400.26
Polaris                  11767       359.5438        38.1277    332.96    445.20
