# /Users/e30737/Desktop/Data/MANGO/low/greenline/2021/333/04/mango-low-greenline-20211129-043600.hdf5				
# Name	Azimuth	Elevation	X	Y
#Etamin	325.223555	12.532123	69.48	282.86
Diphda	197.262557	35.556271	429.12	53.86
Merope	103.342217	61.045861	432.75	281.46
#Tarazed	278.268218	6.830722	100.43	55.22
Zaurak	140.206722	32.053002	546.62	205.18
#Sulafat	302.934517	10.197065	60.59	173.77
Aldebaran	103.870812	47.251515	477.62	306.22
#Nihal	126.930801	12.883023	616.62	261.29
Sadr	301.329887	28.450313	129.41	180.82
#Acamar	165.284171	13.02808	577.54	83.99
#Dubhe	18.011342	11.582396	219.31	481.44
Bellatrix	105.517926	31.549583	524.67	326.46
Elnath	81.085431	42.516254	446.39	365.32
#Procyon	86.176107	3.561869	546.16	452.13
Markab	251.264218	49.722111	273.9	96.75
Mintaka	110.259901	26.080458	549.06	318.39
Enif	260.496721	30.582295	216.23	58.99
Atlas	102.517909	60.527463	433.67	283.79
Sirrah	260.963961	69.377066	297.12	168.71
Scheat	270.158871	55.774515	251.24	141.32
Alfirk	336.773241	41.199121	179.19	296.88
Caph	335.287429	61.120651	244.22	266.41
#Mizar	2.690801	-0.347527	142.87	455.86
Kochab	355.177924	19.399595	153.66	393.67
#Mirzam	116.118612	5.210375	628.41	319.54
Capella	57.475448	48.403409	377.95	376.24
#Alcor	2.500623	-0.296828	142.07	455.25
Algenib	231.397301	62.105162	328.68	127.6
Deneb	305.407292	33.492707	142.91	198.48
Mirfak	43.031592	65.94077	340.77	314.81
#Alshain	273.496538	6.319545	114.67	34.9
Hamal	152.449303	77.565452	386.59	212.99
Rigel	119.974718	24.078012	568.31	283.87
#Altair	276.183781	6.779893	106.77	46.46
#Alioth	6.7755	1.181765	158.77	470.57
#Sirius	111.841732	1.752321	623.98	341.95
Schedar	339.178124	65.716371	262.78	265.51
#Thuban	357.6416	9.113162	132.5	428.9
Alhena	85.048716	22.310734	499.87	408.3
Menkar	144.294986	54.248658	471.07	204.19
#Eltanin	325.223555	12.532123	69.48	282.86
Taygeta	102.64551	61.517267	430.55	281.62
Alpheratz	260.963961	69.377066	297.12	168.71
Algol	63.253767	71.937718	363.76	289.75
Mirach	280.780416	83.293692	318.18	212.5
#Arneb	124.018258	14.1991	609.51	274.32
Saiph	115.222054	17.029465	588.6	311.09
#Phecda	15.714851	1.399087	198.65	496.17
Sadalmelik	247.424149	28.629329	255.12	28.98
Alcyone	102.797468	60.888869	432.76	282.63
Maia	102.690173	61.346143	431.15	281.89
Electra	103.372823	61.415599	431.56	280.69
#Albereo	295.041605	13.301069	81.66	139.37
Alnitak	110.128809	23.346995	557.88	322.83
Menkalinan	57.528464	40.827244	384.11	400.93
#Pollux	66.042984	14.908044	443.52	476.77
#Sheliak	304.580074	9.068844	55.38	181.26
Alderamin	326.083066	41.241693	169.37	265.45
Polaris	0.261233	35.358462	207.33	369.51
Betelgeuse	99.532378	26.139773	528.45	355.23
Alnilam	110.291764	24.694781	553.64	320.25
Almach	27.328384	81.220491	331.95	261.91
#Vega	310.607115	10.129757	55.64	211.81
#Merak	21.12667	7.174555	227.66	501.12
#Megrez	11.69254	3.492527	180.63	484.75
Uranus	144.744645	66.726447	424.41	212.13
Neptune	226.106692	38.945349	334.73	44.15
Umbriel	144.750437	66.721113	424.41	212.13
Ariel	144.749959	66.722875	424.41	212.13
Oberon	144.754467	66.736665	424.41	212.13
Miranda	144.750492	66.726515	424.41	212.13
Titania	144.726886	66.724193	424.41	212.13
