# /Users/e30737/Desktop/Data/MANGO/mro/greenline/2023/104/05/mango-mro-greenline-20230414-051000.hdf5
# Name          Azimuth  Elevation   X    Y
Arcturus	101.83 	50.91	451.8	132.2
Polaris		359.4    33.6	454.06	401.44
Dubhe		352.8    61.98	393.49	323.47
Merak		349.11 	67.11	380.9	308.7
Phecda		9.35     70.05	399	285.5
Alioth		26.48    64.03	431.4	279.8
Alkaid		48.21    60.91	455.4	248.2
Capella		311.93 	21.36	283.3	458.5
Menkalinan	307.46 	27.73	273.5	434.7
Castor		284.98 	40.8	230	358.7
Pollux		279.08 	41.6	219.5	344.7
Mars		282.53 	28.05	195.5	384.3
Procyon		255.56 	28.98	146.1	295.4
Sirius		245.96 	5.08	74.4	269.8
Regulus		225.9    60.73	246.1	208.5
Algieba		233.03 	68.51	271.8	224.2
Zosma		197.81 	75.81	310.6	197.4
Denebola	168.13 	70.1	324.7	162.5
Alphard		220.56 	38.01	173.6	176.3
Spica		144.31 	37.41	360.02	43.95
Porrima		151.86 	50.88	339.2	89.7
Kraz		163.46 	30.66	291.8	30.6
GammaHydrae	152.36 	27.4	330.5	13.3
